timestamps,TP9,AF7,AF8,TP10,Right AUX
1533044853.82,589.8965907322755,424.4844650783123,660.5135745418264,522.5887715007674,765.7548502509424
1533044853.824,541.6004676336141,490.2484567113923,667.6889145617812,571.691457840752,955.0081281190326
1533044853.8279998,517.4524060842834,532.099382684557,610.2567872709132,571.691457840752,791.9562146391328
1533044853.832,448.45592595240396,544.0497933778889,682.0542981673055,540.1295497398315,727.9018094825689
1533044853.836,545.0481721497268,532.099382684557,682.0542981673055,540.1295497398315,777.4005636442369
1533044853.839,651.9905968636588,436.43487577164433,638.9728509163472,529.6065193875675,751.1932362691579
1533044853.843,586.4488862161628,430.4596704249783,804.0938927689965,592.7375185452803,719.1660336908759
1533044853.8470001,538.1527631175013,520.1367277179736,840.0,624.2994266462009,710.430257899183
1533044853.851,441.5605169201785,538.0745880312229,761.0271490836528,540.1295497398315,748.2832986675564
1533044853.855,482.9541660183437,442.4223253915616,660.5135745418264,498.03742833077507,570.6757341927606
1533044853.859,655.4383013797715,406.546604765063,660.5135745418264,543.6348322052957,730.8117470841704
1533044853.863,607.1421782811101,436.43487577164433,796.9185527490416,575.1967403062162,943.3624147257381
1533044853.867,517.4524060842834,490.2484567113923,804.0938927689965,568.186175375288,925.8908631423521
1533044853.871,500.2068185354489,526.1119330646395,689.2296381872604,561.168427488488,727.9018094825689
1533044853.875,538.1527631175013,526.1119330646395,603.0814472509584,526.1012369221033,672.583180117698
1533044853.8779998,641.6404183470497,532.099382684557,624.6074673108229,515.5782065698393,838.5450311991992
1533044853.8820002,586.4488862161628,532.099382684557,739.4864254581736,554.1578625575597,885.1278847723772
1533044853.8860002,517.4524060842834,550.0372429978063,775.3778291235625,568.186175375288,957.9180657206341
1533044853.89,458.80610446901295,573.9503086577215,682.0542981673055,487.51439797851094,704.61038269598
1533044853.894,445.00822143629125,526.1119330646395,545.6346163944756,424.38339882079805,366.860842342886
1533044853.8979998,586.4488862161628,502.19886740472435,524.0938927689965,459.4577723430545,462.9484130646203
1533044853.9020002,582.9941167317793,579.9255140043875,717.9457018326945,522.5887715007674,829.8092554075063
1533044853.9060001,472.6039875017347,615.8012346308861,811.283936354566,533.1118018530316,1039.444022460584
1533044853.91,424.30786440307327,609.8137850109688,746.6617654781285,469.98080269531863,975.38961730402
1533044853.914,448.45592595240396,603.8385796643029,631.7975108963924,455.9524898775904,625.9943635576316
1533044853.918,582.9941167317793,603.8385796643029,581.5407236254791,522.5887715007674,655.111628534312
1533044853.921,589.8965907322755,627.7516453242182,703.5803182271701,533.1118018530316,975.38961730402
1533044853.925,482.9541660183437,615.8012346308861,811.283936354566,533.1118018530316,1036.5340848589824
1533044853.929,413.964750854735,615.8012346308861,775.3778291235625,494.53214586531095,920.0709879391492
1533044853.9329998,400.1668678220133,627.7516453242182,653.323530956257,399.83205565080567,643.4659151410175
1533044853.937,520.9001106003961,591.8881689709709,574.3506800399097,420.87811635533393,567.7657965911592
1533044853.941,579.5464122156666,597.8633743176368,725.1210418526492,476.99855058211864,925.8908631423521
1533044853.945,496.7520490510654,645.6895056374675,811.283936354566,476.99855058211864,1202.4959359404836
1533044853.949,431.2103384035695,651.6647109841334,696.4049782072152,452.4472074121263,1010.3267574839035
1533044853.9529998,382.91421530490805,651.6647109841334,739.4864254581736,445.42945952532625,870.5722337774812
1533044853.957,510.5569970520579,597.8633743176368,725.1210418526492,473.4860851607827,856.0165827825853
1533044853.96,603.6944737649973,573.9503086577215,761.0271490836528,522.5887715007674,858.9265203841867
1533044853.964,531.2502891170051,615.8012346308861,739.4864254581736,575.1967403062162,925.8908631423521
1533044853.968,434.65804291968226,663.6273659507168,746.6617654781285,519.0834890353033,987.0353306973145
1533044853.9720001,396.7120983376298,633.7390949441356,875.8914036653889,480.50383304758276,751.1932362691579
1533044853.976,582.9941167317793,532.099382684557,782.567872709132,557.6631450230238,503.7054284477067
1533044853.98,651.9905968636588,627.7516453242182,768.2024891036076,533.1118018530316,655.111628534312
1533044853.984,507.1022275676744,747.3292178970461,883.0814472509584,487.51439797851094,823.9834172174147
1533044853.988,448.45592595240396,753.3044232437121,768.2024891036076,466.4755202298545,640.5559775394161
1533044853.992,344.9682707228556,831.0310698433753,674.8642545817361,326.17802614082865,678.403055320901
1533044853.996,438.1128124040657,866.8945461966226,524.0938927689965,294.61611803990814,660.9374667244035
1533044854.0,610.5969477654935,801.1305545635427,481.0271490836528,375.28071248081335,623.08442595603
1533044854.0029998,482.9541660183437,807.11800418346,660.5135745418264,417.37283388986987,885.1278847723772
1533044854.0070002,386.3619198210208,801.1305545635427,646.1481909363021,410.3550860030698,1056.9155740439699
1533044854.0110002,358.7661537555773,795.1553492168767,603.0814472509584,375.28071248081335,885.1278847723772
1533044854.015,403.61457233812604,777.2174889036274,588.716063645434,364.76486508442105,687.138831112594
1533044854.019,517.4524060842834,699.5030865772154,624.6074673108229,378.7931779021493,957.9180657206341
1533044854.0229998,507.1022275676744,717.4287026172134,717.9457018326945,420.87811635533393,960.8339663091241
